Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
11,Maryland,,2,3,0.9213,0.6099,0.7099,0.6748,0.7376,0.7424,0.6377,0.6673,0.7469,0.7569,0.7122,0.6515,0.6653,0.6807,0.7714,0.5049,0.6938,0.3846,0.5484,0.5127,0.4889,0.5450,0.7778
12,Iowa,,3,3,0.8010,0.8231,0.8208,0.4309,1.0000,0.6114,0.8514,0.7940,0.3920,0.7001,0.6163,0.4606,0.8816,0.8950,0.5219,0.5000,0.7813,0.2130,0.5273,0.8418,0.8421,0.5360,0.8230
13,S Carolina,,0,4,0.7501,0.8014,0.7005,0.5203,0.5842,0.5852,0.6848,0.6144,0.5802,0.6460,0.5315,0.6182,0.5429,0.5840,0.4773,0.5441,0.7813,0.4320,0.6492,0.2213,0.3793,0.6216,0.6049
14,Marquette,,1,4,0.8482,0.7767,0.9033,0.6314,0.7525,0.7642,0.7283,0.7940,0.7716,0.8626,0.7605,0.6515,0.7469,0.7647,0.6798,0.6373,0.8750,0.5148,0.7618,0.5080,0.6689,0.5766,0.8683
15,Iowa St,,2,4,0.7608,0.8827,0.8325,0.5528,0.6832,0.5895,0.8986,0.7130,0.6759,0.7609,0.5998,0.4333,0.7102,0.7437,0.6569,0.6569,0.8188,0.3905,0.6512,0.4410,0.5595,0.5315,0.6626
16,Gonzaga,,3,4,0.9257,0.6237,0.6557,0.7453,0.6931,0.7424,0.8406,0.6673,0.7870,0.7741,0.6781,0.6303,0.5878,0.6345,0.6478,0.3971,0.7938,0.6095,0.7618,0.4630,0.5450,0.5811,0.6379
17,Syracuse,,0,5,0.7917,0.8466,0.7594,0.5366,0.5594,0.5633,0.7971,0.5951,0.6914,0.6790,0.6013,0.6333,0.6204,0.6176,0.6193,0.6961,0.6313,0.5799,0.6507,0.6552,0.4686,0.3018,0.6214
18,Florida St,,1,5,0.8010,0.7426,0.5448,0.6640,0.4604,0.3537,0.7826,0.5158,0.6790,0.6143,0.5792,0.5939,0.4286,0.4622,0.5071,0.4510,0.7625,0.6331,0.7485,0.2791,0.3676,0.4775,0.7078
19,Kentucky,,2,5,0.8549,0.7035,0.6392,0.7263,0.5000,0.7686,0.7754,0.5898,0.8056,0.7239,0.4201,0.5636,0.5143,0.5504,0.5341,0.4755,0.8000,0.8817,0.9640,0.2973,0.4143,0.5225,0.5391
20,Texas A&M,,3,5,0.7917,0.7718,0.5590,0.6856,0.5495,0.5371,0.6558,0.5599,0.7222,0.6658,0.6273,0.6242,0.4408,0.5210,0.7660,0.4020,0.7313,0.3728,0.5777,0.2246,0.3228,0.8243,0.7778
21,S Dakota St,,0,6,0.8095,0.6275,0.7759,0.5854,0.8119,0.7336,0.7717,0.7447,0.5494,0.7305,0.6681,0.4303,0.7878,0.8109,0.4973,0.4118,0.8125,0.3669,0.6111,0.6063,0.6704,0.5946,0.6296
22,UCLA,,1,6,0.6160,0.8401,0.6297,0.4390,0.4752,0.4541,0.6739,0.5880,0.3704,0.5363,0.6687,0.7939,0.4041,0.4412,0.3811,0.4167,0.8500,0.3787,0.6260,0.2865,0.4371,0.5045,0.5679
