Rank,Name,Games Won,Region,Seed,Win/Loss %,SOS,Points / Gm,Opp Points / Gm,FG %,3 Pt FG %,FT %,Offense Rating,Opp. Offense Rating,Adj. Scoring Margin,True Rebound %,Offensive Rebound %,Effective FG %,True Shooting %,Opp. True Shooting %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover Ratio,Free Throws / Feild Goal Attempt,Opp. Free Throws / Feild Goal Attempt
11,Cincinnati,,2,3,0.9222737819,0.6240276577,0.600147547,0.8756114605,0.6242038217,0.5806451613,0.4444444444,0.7577464789,1,1,0.8657718121,0.9425837321,0.5414364641,0.5222222222,0.9930555556,0.2827004219,0.7176470588,0.625,0.7917026793,0.8023952096,0.7118644068,0.60625,0.82
12,Wichita St,,3,3,0.8747099768,0.7312013829,0.9007746219,0.5574190543,0.7898089172,0.735483871,0.6712962963,0.9154929577,0.5542168675,0.8280373832,0.9731543624,0.8181818182,0.7458563536,0.7277777778,0.5486111111,0.4261603376,0.7764705882,0.2578125,0.5151253241,0.8532934132,0.8813559322,0.5875,0.585
13,W Virginia,,0,4,0.7726218097,0.882454624,0.763924751,0.6228744468,0.4904458599,0.464516129,0.7916666667,0.7690140845,0.671686747,0.8037383178,0.6644295302,0.8708133971,0.4419889503,0.4666666667,0.5277777778,0.4388185654,0.8705882353,0.6953125,0.9602420052,0.5778443114,0.6610169492,0.5125,0.155
14,Arizona,,1,4,0.8027842227,0.8262748487,0.8140907414,0.5245748894,0.974522293,0.7096774194,0.7916666667,0.861971831,0.4548192771,0.7308411215,0.8389261745,0.6746411483,0.8287292818,0.8277777778,0.4861111111,0.3628691983,0.6,0.25,0.4425237684,0.5359281437,0.5847457627,0.7625,0.55
15,Ohio State,,2,4,0.8201856148,0.8867761452,0.6012541498,0.6629396692,0.8152866242,0.4709677419,0.6157407407,0.7014084507,0.6445783133,0.7420560748,0.7785234899,0.5358851675,0.6629834254,0.6333333333,0.6319444444,0.3037974684,0.6470588235,0.3359375,0.5324114088,0.5149700599,0.5677966102,0.45,0.745
16,Texas Tech,,3,4,0.7726218097,0.8716508211,0.5842862412,0.7197763802,0.6624203822,0.5032258065,0.5092592593,0.6507042254,0.7801204819,0.7925233645,0.7046979866,0.7129186603,0.5524861878,0.5555555556,0.6875,0.3417721519,0.5882352941,0.6328125,0.7554019015,0.4910179641,0.4322033898,0.75625,0.415
17,Kentucky,,0,5,0.7343387471,0.9792566984,0.6444116562,0.5637083625,0.6942675159,0.4387096774,0.4861111111,0.6338028169,0.5692771084,0.6504672897,0.7516778523,0.8133971292,0.4861878453,0.5,0.7083333333,0.4303797468,0.5529411765,0.234375,0.3811581677,0.4281437126,0.3728813559,0.88125,0.65
18,Gonzaga,,1,5,0.9327146172,0.6019878997,0.9225378089,0.6373165618,0.9044585987,0.535483871,0.6203703704,0.9492957746,0.6897590361,0.9345794393,0.9127516779,0.7129186603,0.8121546961,0.7611111111,0.6805555556,0.3839662447,0.8352941176,0.3125,0.5963699222,0.4790419162,0.7118644068,0.425,0.66
19,Clemson,,2,5,0.8027842227,0.8846153846,0.5241608263,0.6843699045,0.6242038217,0.5870967742,0.7268518519,0.6253521127,0.6746987952,0.7102803738,0.6040268456,0.3971291866,0.591160221,0.5944444444,0.6944444444,0.2995780591,0.5882352941,0.328125,0.5056179775,0.502994012,0.4491525424,0.575,0.835
20,Michigan,,3,5,0.8201856148,0.8448573898,0.534857986,0.7379454927,0.7197452229,0.5870967742,0.3055555556,0.7408450704,0.6837349398,0.7925233645,0.5436241611,0.3540669856,0.7071823204,0.6111111111,0.5972222222,0.2109704641,0.9764705882,0.4609375,0.8254105445,0.6047904192,0.8983050847,0.1625,0.695
21,Nevada,,0,6,0.8955916473,0.6840968021,0.8882331243,0.5350570696,0.7133757962,0.7935483871,0.7222222222,0.8563380282,0.5542168675,0.7887850467,0.5302013423,0.3923444976,0.7016574586,0.7166666667,0.5972222222,0.4430379747,0.9882352941,0.3203125,0.7528089888,0.6856287425,0.9152542373,0.8125,0.705
22,Rhode Island,,1,6,0.8747099768,0.661624892,0.6333456289,0.6354530631,0.6815286624,0.4,0.5972222222,0.6704225352,0.656626506,0.7289719626,0.5033557047,0.5741626794,0.5138121547,0.4944444444,0.4166666667,0.3839662447,0.8588235294,0.7265625,0.9809853068,0.5538922156,0.7118644068,0.39375,0.21
23,Florida,,2,6,0.656612529,0.9399308557,0.6016230173,0.6033077102,0.4713375796,0.6,0.5925925926,0.6647887324,0.5662650602,0.6691588785,0.4093959732,0.4784688995,0.453038674,0.45,0.5555555556,0.3333333333,1,0.4609375,0.8591184097,0.4131736527,0.6355932203,0.5,0.595
24,TCU,,3,6,0.7343387471,0.9304235091,0.8904463298,0.4402515723,0.9171974522,0.8193548387,0.5416666667,0.8647887324,0.3795180723,0.6859813084,0.8120805369,0.7511961722,0.8287292818,0.7722222222,0.3333333333,0.4261603376,0.6470588235,0.3046875,0.4935177182,0.8413173653,0.8050847458,0.51875,0.665
25,Creighton,,0,7,0.7343387471,0.85306828,0.9284396902,0.4924295365,0.9044585987,0.6387096774,0.75,0.8169014085,0.5542168675,0.7626168224,0.5570469799,0.1387559809,0.8950276243,0.8333333333,0.5972222222,0.5443037975,0.8,0.1875,0.5254969749,0.7065868263,0.8813559322,0.25625,0.92
26,Houston,,1,7,0.8422273782,0.6404494382,0.6676503135,0.7004425809,0.6942675159,0.7161290323,0.5509259259,0.7605633803,0.7289156627,0.8336448598,0.8523489933,0.7751196172,0.6464088398,0.6055555556,0.7152777778,0.3502109705,0.6352941176,0.421875,0.5738980121,0.6107784431,0.5847457627,0.3625,0.3
27,Arkansas,,2,7,0.7343387471,0.9243733794,0.8388048691,0.4511996273,0.7834394904,0.7935483871,0.3425925926,0.7521126761,0.4548192771,0.6579439252,0.4563758389,0.4928229665,0.6740331492,0.6111111111,0.4513888889,0.4936708861,0.8705882353,0.3984375,0.7528089888,0.4520958084,0.6610169492,0.525,0.245
28,Miami (FL),,3,7,0.7621809745,0.7955920484,0.549612689,0.6410435593,0.6878980892,0.5290322581,0.3564814815,0.6422535211,0.6054216867,0.6785046729,0.5570469799,0.5119617225,0.5966850829,0.5277777778,0.6041666667,0.3122362869,0.7411764706,0.3828125,0.639585134,0.3832335329,0.5169491525,0.23125,0.755
29,Seton Hall,,0,8,0.6960556845,0.9222126188,0.7181851715,0.5054740275,0.6942675159,0.5161290323,0.4212962963,0.6676056338,0.5090361446,0.6355140187,0.6912751678,0.7177033493,0.5635359116,0.5222222222,0.5138888889,0.4641350211,0.6352941176,0.328125,0.5082108902,0.6077844311,0.5677966102,0.4625,0.695
30,Butler,,1,8,0.656612529,0.9170267934,0.7440059019,0.5343582576,0.7324840764,0.5290322581,0.8148148148,0.7014084507,0.5572289157,0.6878504673,0.6040268456,0.4162679426,0.6408839779,0.6111111111,0.375,0.4092827004,0.8,0.5,0.7640449438,0.4041916168,0.6016949153,0.2625,0.47
31,Texas A&M,,2,8,0.656612529,0.9602420052,0.5769088897,0.5863032844,0.6496815287,0.3419354839,0.3425925926,0.5774647887,0.5963855422,0.6299065421,0.744966443,0.7177033493,0.5027624309,0.4444444444,0.7708333333,0.4303797468,0.5411764706,0.140625,0.2860847018,0.628742515,0.5169491525,0.30625,0.785
32,Virginia Tech,,3,8,0.7343387471,0.797752809,0.7687200295,0.5404146285,0.9044585987,0.6967741935,0.537037037,0.7690140845,0.5271084337,0.7140186916,0.4093959732,0.2153110048,0.8453038674,0.8,0.5625,0.4092827004,0.6705882353,0.328125,0.5972342264,0.6886227545,0.7118644068,0.65,0.78
