Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
19,W Virginia,2,2,5,0.724260355,0.8829701372,0.7207207207,0.6105289421,0.4805194805,0.4774193548,0.7832512315,0.728021978,0.637195122,0.7708737864,0.6621621622,0.8689320388,0.4301675978,0.4550561798,0.4685314685,0.4242424242,0.8620689655,0.7131147541,0.9809437387,0.5909090909,0.6209677419,0.4906832298,0.2010050251
20,Clemson,2,3,5,0.7396449704,0.8627925747,0.4827327327,0.6901197605,0.6038961039,0.5612903226,0.7389162562,0.6016483516,0.6554878049,0.6932038835,0.6013513514,0.4174757282,0.5642458101,0.5842696629,0.6923076923,0.29004329,0.5977011494,0.3032786885,0.499092559,0.5303030303,0.4274193548,0.6086956522,0.8090452261
21,Miami (FL),0,0,6,0.7289940828,0.786117837,0.5157657658,0.6347305389,0.6753246753,0.5419354839,0.275862069,0.6016483516,0.5914634146,0.6524271845,0.5337837838,0.5097087379,0.5810055866,0.5056179775,0.5944055944,0.3246753247,0.7471264368,0.3852459016,0.6606170599,0.4212121212,0.5,0.2049689441,0.7386934673
22,Houston,1,1,6,0.850887574,0.6327683616,0.6647897898,0.7055888224,0.7077922078,0.7096774194,0.5270935961,0.7554945055,0.7225609756,0.8446601942,0.8445945946,0.7815533981,0.6536312849,0.6179775281,0.6993006993,0.3506493506,0.6666666667,0.4344262295,0.613430127,0.5818181818,0.5403225806,0.4472049689,0.2964824121
23,Florida,1,2,6,0.6284023669,0.9092009685,0.5870870871,0.5995508982,0.4805194805,0.6193548387,0.5517241379,0.6565934066,0.5518292683,0.6660194175,0.3986486486,0.4951456311,0.469273743,0.4606741573,0.5524475524,0.3333333333,0.9885057471,0.4508196721,0.8711433757,0.4424242424,0.6129032258,0.4782608696,0.5929648241
24,TCU,0,3,6,0.6650887574,0.900322841,0.8475975976,0.4373752495,0.9025974026,0.7806451613,0.4975369458,0.8104395604,0.3902439024,0.6718446602,0.8175675676,0.7572815534,0.7988826816,0.7471910112,0.3286713287,0.4242424242,0.632183908,0.3114754098,0.502722323,0.8454545455,0.7419354839,0.5093167702,0.6381909548
25,Nevada,2,0,7,0.8284023669,0.6731234867,0.850975976,0.5137225549,0.7012987013,0.7677419355,0.6896551724,0.8131868132,0.5213414634,0.7572815534,0.4932432432,0.4029126214,0.687150838,0.691011236,0.5664335664,0.4502164502,0.9885057471,0.3278688525,0.7885662432,0.7060606061,0.8790322581,0.7267080745,0.6683417085
26,Texas A&M,2,1,7,0.6284023669,0.9225181598,0.5472972973,0.5903193613,0.6298701299,0.3096774194,0.2955665025,0.543956044,0.6067073171,0.6213592233,0.7635135135,0.7621359223,0.4748603352,0.4213483146,0.7692307692,0.4415584416,0.5402298851,0.1639344262,0.3012704174,0.6393939394,0.4677419355,0.3354037267,0.7688442211
27,Arkansas,0,2,7,0.6887573964,0.906779661,0.7759009009,0.4476047904,0.7597402597,0.7806451613,0.3497536946,0.717032967,0.4268292683,0.6291262136,0.4527027027,0.5145631068,0.6480446927,0.6011235955,0.4195804196,0.4675324675,0.8735632184,0.4098360656,0.7831215971,0.4606060606,0.6129032258,0.5776397516,0.2512562814
28,Rhode Island,1,3,7,0.8426035503,0.6456820016,0.6152402402,0.629740519,0.6558441558,0.4580645161,0.5172413793,0.6565934066,0.6341463415,0.7184466019,0.527027027,0.6019417476,0.5083798883,0.4775280899,0.4125874126,0.3852813853,0.8965517241,0.7049180328,1,0.5939393939,0.7177419355,0.3540372671,0.2613065327
29,Creighton,0,0,8,0.6650887574,0.8236481033,0.8956456456,0.4802894212,0.8896103896,0.6258064516,0.6896551724,0.7747252747,0.5457317073,0.745631068,0.5540540541,0.1553398058,0.8659217877,0.8033707865,0.5804195804,0.5411255411,0.816091954,0.1967213115,0.5617059891,0.7212121212,0.8467741935,0.2360248447,0.8894472362
30,Missouri,0,1,8,0.6284023669,0.8753026634,0.4827327327,0.6332335329,0.6038961039,0.6838709677,0.6354679803,0.5989010989,0.5548780488,0.627184466,0.7162162162,0.6310679612,0.6368715084,0.6516853933,0.7132867133,0.2943722944,0.3103448276,0.1885245902,0.2304900181,0.6424242424,0.3225806452,0.7826086957,0.6884422111
31,Virginia Tech,0,2,8,0.6650887574,0.7768361582,0.7244744745,0.5419161677,0.8961038961,0.6838709677,0.5073891626,0.7252747253,0.5243902439,0.6970873786,0.4256756757,0.2330097087,0.8324022346,0.7808988764,0.5384615385,0.4069264069,0.6551724138,0.3442622951,0.609800363,0.7242424242,0.6693548387,0.6149068323,0.7537688442
32,Seton Hall,1,3,8,0.6650887574,0.893866021,0.6974474474,0.502994012,0.7077922078,0.5483870968,0.4236453202,0.6565934066,0.5,0.6330097087,0.7027027027,0.7281553398,0.5698324022,0.5393258427,0.5104895105,0.4588744589,0.6436781609,0.3196721311,0.5108892922,0.6272727273,0.5403225806,0.4906832298,0.7035175879
33,Kansas St,2,0,9,0.6781065089,0.8591606134,0.4481981982,0.6384730539,0.7272727273,0.4193548387,0.6650246305,0.6016483516,0.5243902439,0.6097087379,0.3378378378,0.359223301,0.6089385475,0.606741573,0.4755244755,0.2640692641,0.6436781609,0.5491803279,0.7695099819,0.6272727273,0.5564516129,0.5527950311,0.4020100503
34,Florida St,2,1,9,0.6520710059,0.8079096045,0.8014264264,0.4738023952,0.7402597403,0.464516129,0.3842364532,0.6758241758,0.5365853659,0.6699029126,0.6418918919,0.7038834951,0.6312849162,0.5898876404,0.5664335664,0.5194805195,0.6551724138,0.393442623,0.610707804,0.5303030303,0.4919354839,0.5403726708,0.6432160804
35,Alabama,1,2,9,0.550295858,0.9245359161,0.4478228228,0.5863273453,0.6363636364,0.2967741935,0.3201970443,0.456043956,0.5853658537,0.545631068,0.5135135135,0.5097087379,0.5027932961,0.4887640449,0.6783216783,0.4242424242,0.3793103448,0.3524590164,0.4255898367,0.4484848485,0.2661290323,0.7391304348,0.5025125628
36,NC State,0,3,9,0.6650887574,0.7703793382,0.7807807808,0.4740518962,0.7142857143,0.6,0.4630541872,0.7142857143,0.4786585366,0.6601941748,0.527027027,0.7233009709,0.5977653631,0.5674157303,0.4195804196,0.4978354978,0.7471264368,0.5081967213,0.7658802178,0.6212121212,0.6209677419,0.4782608696,0.6180904523
